Budget Year Name,Account Type,Balance Type,Current Stage Desc,Unit And Desc,DEPT,Subunit And Desc,Child Fund And Desc,Child Project And Desc,Program And Desc,Child Acct And Desc, Year Amount SUM 
FY10-11,Revenue,Estimate,pre-test Midcycle,75221 - Linkages Program,Department of Human Services,No SubUnit,2410 - Link Handipark,G360610 - HANDIPARK FY10/11,YS14 - EMPOWERING SENIORS & PEOPLE WITH DISABILITY,43112 - Fines: City Traffic Code," 21,090 "
FY10-11,Revenue,Estimate,pre-test Midcycle,U10751 - Traffic BFO,Police Services Agency,107510 - Traffic BFO,2416 - Traffic Safety Fund,P328920 - RED LIGHT CAMERA ENFRCMT-FUND 2416,PS14 - TRAFFIC OPERATIONS,43112 - Fines: City Traffic Code," 1,105,130 "
FY10-11,Revenue,Estimate,pre-test Midcycle,08721 - Treasury: Operations,Finance and Management Agency,No SubUnit,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,IP60 - PARKING MANAGEMENT,43113 - Fines: Court," 26,470 "
FY10-11,Revenue,Estimate,pre-test Midcycle,61121 - Departmental Operation,Library,No SubUnit,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,NB37 - LIBRARY SYSTEMWIDE SUPPORT,43114 - Fines: Other," 297,810 "
FY10-11,Revenue,Estimate,pre-test Midcycle,88454 - Code Enforcement Inspection,Community and Economic Development Agency,No SubUnit,2415 - Development Service Fund,0000000 - UNDETERMINED PROJECT,PS31 - DEVELOPMENT PERMIT INSPECTIONS,43114 - Fines: Other," 644,000 "
FY10-11,Revenue,Estimate,pre-test Midcycle,20311 - Fire Marshal's Office,Fire Services Agency,No SubUnit,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,PS23 - FIRE PREVENTION BUREAU,43115 - Fines: Miscellaneous," 268,960 "
FY10-11,Revenue,Estimate,pre-test Midcycle,88454 - Code Enforcement Inspection,Community and Economic Development Agency,No SubUnit,2415 - Development Service Fund,0000000 - UNDETERMINED PROJECT,PS31 - DEVELOPMENT PERMIT INSPECTIONS,43115 - Fines: Miscellaneous," 371,000 "
FY10-11,Revenue,Estimate,pre-test Midcycle,08721 - Treasury: Operations,Finance and Management Agency,No SubUnit,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,IP59 - FINANCIAL MANAGEMENT,43211 - Penalties: General Property Tax," 956,170 "
FY10-11,Revenue,Estimate,pre-test Midcycle,90411 - Debt Service,Non Departmental and Port,No SubUnit,1200 - Pension Override Tax Revenue,0000000 - UNDETERMINED PROJECT,IN09 - DEBT/LEASE PAYMENTS,43211 - Penalties: General Property Tax," 709,320 "
FY10-11,Revenue,Estimate,pre-test Midcycle,08721 - Treasury: Operations,Finance and Management Agency,No SubUnit,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,IP59 - FINANCIAL MANAGEMENT,43213 - Penalties: Transient Occupancy Tax," 33,320 "
FY10-11,Revenue,Estimate,pre-test Midcycle,08721 - Treasury: Operations,Finance and Management Agency,No SubUnit,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,IP59 - FINANCIAL MANAGEMENT,43214 - Penalties: Real Estate Transfer Tax," 26,420 "
FY10-11,Revenue,Estimate,pre-test Midcycle,08721 - Treasury: Operations,Finance and Management Agency,No SubUnit,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,IP59 - FINANCIAL MANAGEMENT,43216 - Penalties: Parking Stall," 39,060 "
FY10-11,Revenue,Estimate,pre-test Midcycle,08721 - Treasury: Operations,Finance and Management Agency,No SubUnit,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,IP59 - FINANCIAL MANAGEMENT,43219 - Penalties: Forfeitures and Miscellaneous," 2,300 "
FY10-11,Revenue,Estimate,pre-test Midcycle,U10114 - Special Investigations,Police Services Agency,101140 - Special Investigations,2910 - Federal Asset Forfeiture: 15% Set-aside,H76020 - FEDERAL ASSET FORFEITURE-15%,PS12 - VICE/NARCOTICS,43219 - Penalties: Forfeitures and Miscellaneous," 17,580 "
FY10-11,Revenue,Estimate,pre-test Midcycle,U10114 - Special Investigations,Police Services Agency,101140 - Special Investigations,2912 - Federal Asset Forfeiture: City Share,H76010 - FEDERAL ASSET FORFEITURE-85%,PS12 - VICE/NARCOTICS,43219 - Penalties: Forfeitures and Miscellaneous," 68,500 "
FY10-11,Revenue,Estimate,pre-test Midcycle,U10114 - Special Investigations,Police Services Agency,101140 - Special Investigations,2914 - State Asset Forfeiture,H21600 - STATE ASSET FORFEITURE,PS12 - VICE/NARCOTICS,43219 - Penalties: Forfeitures and Miscellaneous," 100,000 "
FY10-11,Revenue,Estimate,pre-test Midcycle,08721 - Treasury: Operations,Finance and Management Agency,No SubUnit,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,IP59 - FINANCIAL MANAGEMENT,43313 - Collections: Permits," 12,640 "
FY10-11,Revenue,Estimate,pre-test Midcycle,08721 - Treasury: Operations,Finance and Management Agency,No SubUnit,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,IP59 - FINANCIAL MANAGEMENT,43314 - Collections: Real Estate Transfer Tax," 197,600 "
FY10-11,Revenue,Estimate,pre-test Midcycle,08721 - Treasury: Operations,Finance and Management Agency,No SubUnit,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,IP59 - FINANCIAL MANAGEMENT,43317 - Collections: Inspection Fees," 7,860 "
FY10-11,Revenue,Estimate,pre-test Midcycle,08721 - Treasury: Operations,Finance and Management Agency,No SubUnit,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,IP59 - FINANCIAL MANAGEMENT,43321 - Collections: Damage Claims," 11,230 "
FY10-11,Revenue,Estimate,pre-test Midcycle,08721 - Treasury: Operations,Finance and Management Agency,No SubUnit,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,IP59 - FINANCIAL MANAGEMENT,43322 - Collections: Delinquent Accounts," 6,890 "
FY10-11,Revenue,Estimate,pre-test Midcycle,20321 - Technical Services,Fire Services Agency,No SubUnit,1740 - Hazardous Materials Inspections,0000000 - UNDETERMINED PROJECT,PS23 - FIRE PREVENTION BUREAU,43322 - Collections: Delinquent Accounts," 54,510 "
FY10-11,Revenue,Estimate,pre-test Midcycle,08441 - Revenue: Collections,Finance and Management Agency,No SubUnit,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,IP59 - FINANCIAL MANAGEMENT,43323 - Collections: Collection Fee," 70,380 "
FY10-11,Revenue,Estimate,pre-test Midcycle,08721 - Treasury: Operations,Finance and Management Agency,No SubUnit,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,IP59 - FINANCIAL MANAGEMENT,43323 - Collections: Collection Fee," 111,810 "
FY10-11,Revenue,Estimate,pre-test Midcycle,08451 - Citywide Liens,Finance and Management Agency,No SubUnit,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,IP59 - FINANCIAL MANAGEMENT,43323 - Collections: Collection Fee," 15,000 "
FY10-11,Revenue,Estimate,pre-test Midcycle,08721 - Treasury: Operations,Finance and Management Agency,No SubUnit,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,IP59 - FINANCIAL MANAGEMENT,43326 - Collections: Miscellaneous," 30,520 "
FY10-11,Revenue,Estimate,pre-test Midcycle,20311 - Fire Marshal's Office,Fire Services Agency,No SubUnit,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,PS23 - FIRE PREVENTION BUREAU,43326 - Collections: Miscellaneous," 1,840 "
FY10-11,Revenue,Estimate,pre-test Midcycle,08721 - Treasury: Operations,Finance and Management Agency,No SubUnit,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,IP59 - FINANCIAL MANAGEMENT,43327 - Collections: Parks and Recreation," 12,640 "
FY10-11,Revenue,Estimate,pre-test Midcycle,08721 - Treasury: Operations,Finance and Management Agency,No SubUnit,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,IP59 - FINANCIAL MANAGEMENT,43328 - Collections: Illegal Dumping," 6,890 "
FY10-11,Revenue,Estimate,pre-test Midcycle,30674 - Illegal Dumping,Public Works Agency,No SubUnit,1720 - Comprehensive Clean-up,0000000 - UNDETERMINED PROJECT,NB35 - KEEP OAKLAND CLEAN & BEAUTIFUL,43328 - Collections: Illegal Dumping," 45,000 "
FY10-11,Revenue,Estimate,pre-test Midcycle,08721 - Treasury: Operations,Finance and Management Agency,No SubUnit,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,IP59 - FINANCIAL MANAGEMENT,43330 - Collections: Parking Violations Bureau," 204,560 "
FY10-11,Revenue,Estimate,pre-test Midcycle,08721 - Treasury: Operations,Finance and Management Agency,No SubUnit,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,IP59 - FINANCIAL MANAGEMENT,44112 - Interest: Investments," 1,640,000 "
FY10-11,Revenue,Estimate,pre-test Midcycle,08721 - Treasury: Operations,Finance and Management Agency,No SubUnit,2211 - Measure B: ACTIA,0000000 - UNDETERMINED PROJECT,IP59 - FINANCIAL MANAGEMENT,44112 - Interest: Investments," 250,000 "
FY10-11,Revenue,Estimate,pre-test Midcycle,U10114 - Special Investigations,Police Services Agency,101140 - Special Investigations,2910 - Federal Asset Forfeiture: 15% Set-aside,H76020 - FEDERAL ASSET FORFEITURE-15%,PS12 - VICE/NARCOTICS,44112 - Interest: Investments," 4,500 "
FY10-11,Revenue,Estimate,pre-test Midcycle,U10114 - Special Investigations,Police Services Agency,101140 - Special Investigations,2912 - Federal Asset Forfeiture: City Share,H76010 - FEDERAL ASSET FORFEITURE-85%,PS12 - VICE/NARCOTICS,44112 - Interest: Investments," 16,000 "
FY10-11,Revenue,Estimate,pre-test Midcycle,U10114 - Special Investigations,Police Services Agency,101140 - Special Investigations,2914 - State Asset Forfeiture,H21600 - STATE ASSET FORFEITURE,PS12 - VICE/NARCOTICS,44112 - Interest: Investments," 8,000 "
FY10-11,Revenue,Estimate,pre-test Midcycle,08721 - Treasury: Operations,Finance and Management Agency,No SubUnit,3100 - Sewer Service Fund,0000000 - UNDETERMINED PROJECT,IP59 - FINANCIAL MANAGEMENT,44112 - Interest: Investments," 700,000 "
FY10-11,Revenue,Estimate,pre-test Midcycle,08721 - Treasury: Operations,Finance and Management Agency,No SubUnit,4100 - Equipment,0000000 - UNDETERMINED PROJECT,IP59 - FINANCIAL MANAGEMENT,44112 - Interest: Investments," (1,272,750)"
FY10-11,Revenue,Estimate,pre-test Midcycle,08721 - Treasury: Operations,Finance and Management Agency,No SubUnit,4400 - City Facilities,0000000 - UNDETERMINED PROJECT,IP59 - FINANCIAL MANAGEMENT,44112 - Interest: Investments," (2,158,520)"
FY10-11,Revenue,Estimate,pre-test Midcycle,90543 - Oakland Convention Center Lease Payment,Non Departmental and Port,No SubUnit,6014 - Oakland Convention Center 1992,0000000 - UNDETERMINED PROJECT,IN09 - DEBT/LEASE PAYMENTS,44112 - Interest: Investments," 6,500 "
FY10-11,Revenue,Estimate,pre-test Midcycle,U10114 - Special Investigations,Police Services Agency,101140 - Special Investigations,7420 - State Asset Trust,P33800 - STATE ASSET TRUST,PS12 - VICE/NARCOTICS,44112 - Interest: Investments," 6,000 "
FY10-11,Revenue,Estimate,pre-test Midcycle,U10211 - Bureau of Investigation: Administration,Police Services Agency,102120 - Property and Evidence,7440 - Unclaimed Cash,P33700 - UNCLAIMED MONIES,PS03 - CRIMINAL INVESTIGATIONS,44112 - Interest: Investments," 40,000 "
FY10-11,Revenue,Estimate,pre-test Midcycle,62211 - Museum Services Operations,Museum,No SubUnit,7640 - Oakland Public Museum Trust,0000000 - UNDETERMINED PROJECT,NB20 - MUSEUM OVERSIGHT,44112 - Interest: Investments," 32,610 "
FY10-11,Revenue,Estimate,pre-test Midcycle,U10651 - Budget Accounting,Police Services Agency,106510 - Budget Accounting,7690 - Kerrison Trust for Police Enhancement,D03010 - KERRISON TRUST FOR POLICE,PS01 - AGENCY-WIDE ADMINISTRATION,44112 - Interest: Investments," 2,000 "
FY10-11,Revenue,Estimate,pre-test Midcycle,90545 - Special Capital Improvement Construction,Non Departmental and Port,No SubUnit,6016 - Civic Improvement Corp. 1985,0000000 - UNDETERMINED PROJECT,IN09 - DEBT/LEASE PAYMENTS,44113 - Interest: Investments with Fiscal Agents," 1,000,000 "
FY10-11,Revenue,Estimate,pre-test Midcycle,88579 - Commercial Lending,Community and Economic Development Agency,No SubUnit,2107 - HUD-108,G02955 - EEC-HUD 108 REVOLVING,SC04 - COMMERCIAL LENDING,44119 - Interest: Miscellaneous Income," 300,000 "
FY10-11,Revenue,Estimate,pre-test Midcycle,88939 - Municipal Lending,Community and Economic Development Agency,No SubUnit,2108 - HUD-CDBG,G08650 - HOME MAINTENANCE IMPROVE PROG,NB32 - HOME OWNERSHIP & REHABILITATION,44119 - Interest: Miscellaneous Income," 50,000 "
FY10-11,Revenue,Estimate,pre-test Midcycle,90545 - Special Capital Improvement Construction,Non Departmental and Port,No SubUnit,6016 - Civic Improvement Corp. 1985,0000000 - UNDETERMINED PROJECT,IN09 - DEBT/LEASE PAYMENTS,44119 - Interest: Miscellaneous Income," 2,941,560 "
FY10-11,Revenue,Estimate,pre-test Midcycle,90411 - Debt Service,Non Departmental and Port,No SubUnit,6027 - JPFA Capital Projects: Series 2005,0000000 - UNDETERMINED PROJECT,IN09 - DEBT/LEASE PAYMENTS,44119 - Interest: Miscellaneous Income," 4,592,840 "
FY10-11,Revenue,Estimate,pre-test Midcycle,88639 - Real Estate,Community and Economic Development Agency,No SubUnit,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,PS32 - REAL ESTATE,44219 - Land Rental: Miscellaneous," 717,490 "
FY10-11,Revenue,Estimate,pre-test Midcycle,90591 - City-Wide Activities,Non Departmental and Port,No SubUnit,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,IP50 - CITYWIDE ACTIVITIES,44219 - Land Rental: Miscellaneous," 17,360 "
FY10-11,Revenue,Estimate,pre-test Midcycle,88639 - Real Estate,Community and Economic Development Agency,No SubUnit,1770 - Telecommunications Land Use,0000000 - UNDETERMINED PROJECT,PS32 - REAL ESTATE,44219 - Land Rental: Miscellaneous," 335,630 "
FY10-11,Revenue,Estimate,pre-test Midcycle,U50923 - Area Three: Recreation Centers,Office of Parks and Recreation,509233 - Ira Jinkins Recreation Center,1820 - OPRCA Self Sustaining Revolving Fund,P53821 - YOUTH PROGRAMS MAIN,"NB03 - RECREATION, CULTURAL CIVIC",44313 - Facility Rental: Gym," 1,500 "
FY10-11,Revenue,Estimate,pre-test Midcycle,U50223 - Area One: Recreation Centers,Office of Parks and Recreation,502234 - Lincoln Recreation Center,1820 - OPRCA Self Sustaining Revolving Fund,P54311 - MORNING PROGRAM MAIN,"NB03 - RECREATION, CULTURAL CIVIC",44313 - Facility Rental: Gym," 6,620 "
FY10-11,Revenue,Estimate,pre-test Midcycle,U50231 - Aquatics Programs,Office of Parks and Recreation,502314 - Temescal Aquatics,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,NB05 - AQUATICS,44314 - Facility Rental: Pool (Temescal Masters)," 7,530 "
FY10-11,Revenue,Estimate,pre-test Midcycle,U50231 - Aquatics Programs,Office of Parks and Recreation,502312 - Dimond Aquatics,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,NB05 - AQUATICS,44314 - Facility Rental: Pool (Temescal Masters)," 1,540 "
FY10-11,Revenue,Estimate,pre-test Midcycle,U50231 - Aquatics Programs,Office of Parks and Recreation,502313 - Defremery Aquatics,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,NB05 - AQUATICS,44314 - Facility Rental: Pool (Temescal Masters), 350 
FY10-11,Revenue,Estimate,pre-test Midcycle,U50231 - Aquatics Programs,Office of Parks and Recreation,502311 - Live Oak Aquatics,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,NB05 - AQUATICS,44314 - Facility Rental: Pool (Temescal Masters)," 10,400 "
FY10-11,Revenue,Estimate,pre-test Midcycle,U50231 - Aquatics Programs,Office of Parks and Recreation,502315 - Fremont Aquatics,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,NB05 - AQUATICS,44314 - Facility Rental: Pool (Temescal Masters)," 6,430 "
FY10-11,Revenue,Estimate,pre-test Midcycle,U50232 - Tennis,Office of Parks and Recreation,502320 - Tennis,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,IN12 - DAVIES TENNIS & CITYWIDE TENNIS,44315 - Facility Rental: Tennis Court," 11,500 "
FY10-11,Revenue,Estimate,pre-test Midcycle,75631 - Senior Center,Department of Human Services,No SubUnit,1010 - General Fund: General Purpose,C78910 - RETAINED RENTAL REV,YS14 - EMPOWERING SENIORS & PEOPLE WITH DISABILITY,44329 - Facility Rentals: Miscellaneous," 16,240 "
FY10-11,Revenue,Estimate,pre-test Midcycle,75631 - Senior Center,Department of Human Services,No SubUnit,1010 - General Fund: General Purpose,C78940 - NORTH OAKLAND SR CTR RENTAL,YS14 - EMPOWERING SENIORS & PEOPLE WITH DISABILITY,44329 - Facility Rentals: Miscellaneous," 15,130 "
FY10-11,Revenue,Estimate,pre-test Midcycle,75631 - Senior Center,Department of Human Services,No SubUnit,1010 - General Fund: General Purpose,C78930 - Retained Rental Revenue-Downtown Sr. Ctr.,YS14 - EMPOWERING SENIORS & PEOPLE WITH DISABILITY,44329 - Facility Rentals: Miscellaneous," 63,840 "
FY10-11,Revenue,Estimate,pre-test Midcycle,75631 - Senior Center,Department of Human Services,No SubUnit,1010 - General Fund: General Purpose,C78920 - RETAINED RENTAL REV,YS14 - EMPOWERING SENIORS & PEOPLE WITH DISABILITY,44329 - Facility Rentals: Miscellaneous," 30,620 "
FY10-11,Revenue,Estimate,pre-test Midcycle,504330 - Studio One,Office of Parks and Recreation,No SubUnit,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,CE05 - CULTURAL ARTS,44329 - Facility Rentals: Miscellaneous," 5,000 "
FY10-11,Revenue,Estimate,pre-test Midcycle,504320 - Malonga Casquelourd,Office of Parks and Recreation,No SubUnit,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,CE05 - CULTURAL ARTS,44329 - Facility Rentals: Miscellaneous," 494,680 "
FY10-11,Revenue,Estimate,pre-test Midcycle,U50223 - Area One: Recreation Centers,Office of Parks and Recreation,502236 - Mosswood Recreation Center,1820 - OPRCA Self Sustaining Revolving Fund,P53711 - MOSSWOOD MAIN,"NB03 - RECREATION, CULTURAL CIVIC",44329 - Facility Rentals: Miscellaneous," 6,500 "
FY10-11,Revenue,Estimate,pre-test Midcycle,U50323 - Area Two: Recreation Centers,Office of Parks and Recreation,503236 - Redwood Heights Recreation Center,1820 - OPRCA Self Sustaining Revolving Fund,P53200 - REDWOOD HEIGHTS SSF,"NB03 - RECREATION, CULTURAL CIVIC",44329 - Facility Rentals: Miscellaneous," 94,540 "
FY10-11,Revenue,Estimate,pre-test Midcycle,U50223 - Area One: Recreation Centers,Office of Parks and Recreation,502235 - Montclair Recreation Center,1820 - OPRCA Self Sustaining Revolving Fund,P52511 - MONTCLAIR MAIN,"NB03 - RECREATION, CULTURAL CIVIC",44329 - Facility Rentals: Miscellaneous," 19,000 "
FY10-11,Revenue,Estimate,pre-test Midcycle,U50223 - Area One: Recreation Centers,Office of Parks and Recreation,502232 - Defremery Recreation Center,1820 - OPRCA Self Sustaining Revolving Fund,P53510 - DEFREMERY MAIN,"NB03 - RECREATION, CULTURAL CIVIC",44329 - Facility Rentals: Miscellaneous," 14,900 "
FY10-11,Revenue,Estimate,pre-test Midcycle,U50323 - Area Two: Recreation Centers,Office of Parks and Recreation,503232 - Dimond Recreation Center,1820 - OPRCA Self Sustaining Revolving Fund,P52711 - DIMOND MAIN,"NB03 - RECREATION, CULTURAL CIVIC",44329 - Facility Rentals: Miscellaneous, 900 
FY10-11,Revenue,Estimate,pre-test Midcycle,U50923 - Area Three: Recreation Centers,Office of Parks and Recreation,509233 - Ira Jinkins Recreation Center,1820 - OPRCA Self Sustaining Revolving Fund,P53821 - YOUTH PROGRAMS MAIN,"NB03 - RECREATION, CULTURAL CIVIC",44329 - Facility Rentals: Miscellaneous," 20,000 "
FY10-11,Revenue,Estimate,pre-test Midcycle,88639 - Real Estate,Community and Economic Development Agency,No SubUnit,4400 - City Facilities,0000000 - UNDETERMINED PROJECT,PS32 - REAL ESTATE,44329 - Facility Rentals: Miscellaneous," 2,400 "
